BS81401534677,Parc at Bentonville,Bentonville
BS84331344478,Parc at Maumelle,Maumelle
BS35211336156,Aliso,Los Angeles
BS80882840238,The Lofts at Reynolds Village,Asheville
BS19284321252,Parc at Metro Center,Nashville
BS76231946679,Parc at Clarksville,Clarksville
BS14986652576,Sawgrass Creek I & II,New Port Richey
BS43410928786,Tattersall Village,Hinesville
BS70508140127,Crossings of Opelika,Opelika
BS60884314707,Oceanaire Apartments,Biloxi
BS12741279817,Franklin River Apartments,Southfield
BS55788842751,Eastwood Village Apartments,Clinton
